year,theme,theme_name,citations,title,authors,venue,doi,url
2025,G,Air-sea interaction & remote sensing,4,"Characterizing wind, wave, and Stokes drift interactions in the upper ocean during Typhoon Doksuri using the COAWST model","Han, Zuo, Wang, Wang, Tao, Zhang et al.",Frontiers in Marine Science,10.3389/fmars.2025.1524724,https://doi.org/10.3389/fmars.2025.1524724
2025,B,Wave measurement methodology,3,Hybrid approach for enhanced wave spectrum estimation integrating semi-supervised learning and wave buoy analogy,"Ko, Nam, Choi",Ocean Engineering,10.1016/j.oceaneng.2025.121880,https://doi.org/10.1016/j.oceaneng.2025.121880
2025,B,Wave measurement methodology,2,Retrieval of Wave Parameters from GNSS Buoy Measurements Using Spectrum Analysis: A Case Study in the Huanghai Sea,"Wang, Chang, Tu, Yan, Wang, Zhang",Remote Sensing,10.3390/rs17162869,https://doi.org/10.3390/rs17162869
2025,C,Field campaigns & observations,2,Numerical Simulation of Regular Wave and Ice Floe Interaction Using Coupled Eulerian–Lagrangian Method,"Yu, Tian",Water,10.3390/w17131879,https://doi.org/10.3390/w17131879
2025,B,Wave measurement methodology,1,Impact of assimilating buoy directional spectra on tropical cyclone wind-wave modeling: a case study of Isaias (2020),"Liu, Jia, Ding, Wang, Wang",Acta Oceanologica Sinica,10.1007/s13131-025-2537-6,https://doi.org/10.1007/s13131-025-2537-6
2025,D,"Drift, transport & trajectory",1,Determining the depth and upwelling speed of the equatorial Ekman layer from surface drifter trajectories,"Paldor, De-Leon",Ocean Science,10.5194/os-21-1461-2025,https://doi.org/10.5194/os-21-1461-2025
2025,B,Wave measurement methodology,1,Direct (phaseresolving) model of surface waves,Chalikov,Ocean Dynamics,10.1007/s10236-025-01733-z,https://doi.org/10.1007/s10236-025-01733-z
2025,D,"Drift, transport & trajectory",1,Dispersion characteristics in the East Australian Current system: Insights from 20 years of Lagrangian drifter data,"Matisons, Roughan, Schaeffer",Progress in Oceanography,10.1016/j.pocean.2025.103498,https://doi.org/10.1016/j.pocean.2025.103498
2025,D,"Drift, transport & trajectory",1,An analysis on OpenMetBuoy-v2021 drifter in-situ data and Lagrangian trajectory simulations in the Agulhas Current System,"Moerman, Breivik, Hole, Hope, Johannessen, Rabault",Applied Ocean Research,10.1016/j.apor.2025.104649,https://doi.org/10.1016/j.apor.2025.104649
2025,A,Platform & sensor hardware,1,"Drifter Challenge: A Low-Cost, Hands-On Platform for Teaching Ocean Instrumentation and Sensing","Massachusetts Institute of Technology, Xia, Champenois, Campuzano, Mendes",Oceanography,10.5670/oceanog.2025.e312,https://doi.org/10.5670/oceanog.2025.e312
